image,object_name,range,azimuth,elevation,mean_intensity,intensity_std,min_intensity,max_intensity,edge_density,edge_strength
00001.bmp,human body,10.0014,120.0,12.0,194.7,58.13601705374423,0,236,0.27943661971830985,143.93548387096774
00002.bmp,human body,10.0007,120.0,12.0,201.200605778192,52.78395952941774,0,249,0.22798229263746506,143.57945835462442
00003.bmp,human body,10.0014,120.0,12.0,206.09952292605354,47.55182737337073,0,247,0.17638483965014579,142.47182569496618
00004.bmp,human body,10.0014,120.0,12.0,211.26722032242307,38.37553129649214,0,244,0.13299951148021494,132.66483011937558
00005.bmp,human body,10.0021,120.0,12.0,214.14656711572798,33.920722687955596,0,249,0.10404155169615323,130.27457098283932
00006.bmp,human body,10.0021,120.0,12.0,220.3341414141414,18.723734897323627,0,246,0.03828282828282828,121.73087071240106
00007.bmp,human body,9.99305,120.0,12.0,201.41693899782135,55.45017947403021,0,245,0.2719226579520697,139.62093139709563
00008.bmp,human body,9.99305,120.0,12.0,192.52350788288288,63.346121805757704,0,236,0.34177927927927926,145.12561779242174
00009.bmp,human body,10.0021,120.0,12.0,198.61459895052474,56.46431340829129,0,251,0.2820464767616192,141.59102990033222
00010.bmp,human body,10.0021,120.0,12.0,202.94826061320754,51.57209364649669,0,249,0.234375,143.28867924528302
00011.bmp,human body,10.0021,120.0,12.0,205.95187870797628,47.59092180860828,0,253,0.1987475280158207,140.15008291873963
00012.bmp,human body,10.0021,120.0,12.0,211.81142857142856,39.95652639126538,0,252,0.1276923076923077,133.02065404475044
00013.bmp,human body,10.0021,120.0,12.0,211.540589569161,42.49351887214883,0,255,0.1566893424036281,139.08538350217077
00014.bmp,human body,10.0021,120.0,12.0,209.77613412228797,37.2596436882706,0,255,0.11972386587771203,135.65568369028006
00015.bmp,human body,10.0021,120.0,12.0,209.08785635964912,40.572848921874616,0,255,0.15556469298245615,123.12246696035243
00016.bmp,human body,10.0007,120.0,12.0,203.35174418604652,51.92554533117325,0,248,0.2374031007751938,138.146485260771
00017.bmp,human body,10.0021,120.0,12.0,205.9005500550055,49.523469669463594,0,251,0.2132013201320132,132.15428276573786
00018.bmp,human body,10.0014,120.0,12.0,203.11141304347825,53.00909121773374,0,248,0.24666149068322982,138.53446647780925
00019.bmp,human body,10.0021,120.0,12.0,196.59525574499628,58.963112500591635,0,237,0.29021497405485547,136.90996168582376
00020.bmp,human body,10.0021,120.0,12.0,204.09321681231793,55.71308671570451,0,253,0.2151477320016646,150.536750483559
00021.bmp,human body,10.0021,120.0,12.0,210.59396114864865,46.42739943098435,0,250,0.17736486486486486,139.56071428571428
00022.bmp,human body,10.0021,120.0,12.0,205.77884972170688,44.99577054720778,0,255,0.18571428571428572,135.78521478521478
00023.bmp,human body,10.0014,120.0,12.0,205.58671016483515,52.958153011205965,0,253,0.22802197802197802,138.52484939759037
00024.bmp,human body,10.0021,120.0,12.0,204.59806231997905,50.99837503806328,0,238,0.2321288295365279,137.06316976875354
00025.bmp,human body,9.99305,120.0,12.0,201.97826557093427,52.49285936710828,0,242,0.24124134948096887,140.03406544150604
00026.bmp,human body,9.99305,120.0,12.0,197.24539007092199,57.80042145074121,0,234,0.30312056737588655,142.06176883481515
00027.bmp,human body,9.99305,120.0,12.0,198.9287284144427,54.90371140757749,0,240,0.2668759811616955,127.97411764705882
00028.bmp,human body,9.99305,120.0,12.0,198.24958193979933,57.636114400732296,0,240,0.2955685618729097,137.51768033946252
00029.bmp,human body,10.0021,120.0,12.0,196.0544420368364,61.80582220106601,0,239,0.3388407367280607,141.3269384492406
00030.bmp,human body,10.0021,120.0,12.0,214.03817873303169,43.10010133041495,0,255,0.15441176470588236,136.08608058608058
00031.bmp,human body,10.0014,120.0,12.0,202.9608187134503,54.64532839245439,0,249,0.24210526315789474,148.28623188405797
00032.bmp,human body,10.0021,120.0,12.0,212.3681398737251,42.91282912299476,0,252,0.15832928606119476,135.19018404907976
00033.bmp,human body,10.0021,120.0,12.0,210.9977384868421,49.71182368706114,0,253,0.18626644736842105,140.98344370860926
00034.bmp,human body,10.0021,120.0,12.0,211.33789682539683,45.30742335919879,0,253,0.17261904761904762,136.23793103448276
00035.bmp,human body,10.0014,120.0,12.0,202.7633744855967,53.191802720707734,0,255,0.24218106995884775,140.76890399320305
00036.bmp,human body,10.0021,120.0,12.0,195.82334019557385,62.476843312910134,0,238,0.32346886258363355,144.8933969769292
00037.bmp,human body,10.0014,120.0,12.0,206.217231415813,45.615595992445684,0,255,0.1841344890990281,133.30456490727533
00038.bmp,human body,10.0021,120.0,12.0,207.9106841216216,45.09363198928071,0,255,0.14907094594594594,143.08215297450425
00039.bmp,human body,10.0021,120.0,12.0,211.62632135306555,42.31702815260545,0,251,0.14323467230443976,137.85977859778598
00040.bmp,human body,10.0021,120.0,12.0,214.13681592039802,40.73171504458002,0,250,0.1297085998578536,132.1260273972603
00041.bmp,human body,10.0021,120.0,12.0,216.1149732620321,36.123626218402315,0,253,0.11452762923351159,127.63618677042801
00042.bmp,human body,10.0021,120.0,12.0,212.10188087774296,43.96360055548454,0,253,0.16077026421854007,137.2284122562674
00043.bmp,human body,10.0021,120.0,12.0,212.86637931034483,40.48346902484078,0,255,0.14224137931034483,128.65151515151516
00044.bmp,human body,10.0021,120.0,12.0,215.37685528756958,33.24272141991483,0,249,0.10134508348794063,130.81006864988558
00045.bmp,human body,10.0014,120.0,12.0,211.295852073963,40.49101957783825,0,247,0.13543228385807096,137.97785977859778
00046.bmp,human body,10.0007,120.0,12.0,210.84494623655914,42.709156949800594,0,248,0.14838709677419354,142.33913043478262
00047.bmp,human body,10.0007,120.0,12.0,209.4427616050354,42.96426511685365,0,246,0.1500786782061369,139.94102228047183
00048.bmp,human body,10.0014,120.0,12.0,213.8490675990676,38.4935809478529,0,254,0.14160839160839161,130.0514403292181
00049.bmp,human body,10.0021,120.0,12.0,205.99076923076922,50.88939153893625,0,248,0.20692307692307693,141.64684014869889
00050.bmp,human body,10.0014,120.0,12.0,207.35507246376812,45.11642730368917,0,255,0.1747181964573269,143.96927803379415
00051.bmp,human body,10.0014,120.0,12.0,207.51677215189872,43.61250949575942,0,255,0.16772151898734178,129.2301886792453
00052.bmp,human body,10.0007,120.0,12.0,206.23790322580646,48.66738323133489,0,247,0.19802867383512546,145.69570135746605
00053.bmp,human body,10.0007,120.0,12.0,212.3460634547591,39.01615538588926,0,253,0.13836662749706227,130.57537154989384
00054.bmp,human body,10.0007,120.0,12.0,210.28571428571428,45.05334127209741,0,248,0.16177429876060012,140.8084677419355
00055.bmp,human body,10.0021,120.0,12.0,209.289898989899,39.640968235098136,0,255,0.13964646464646466,127.40506329113924
